Shop,Location,"Crowdfunding
Platform","Year &
Period
","Weeks 
Duration",Backers,"Avg.
Pledge ≈","Threshold
& Goal","Total
Funded
($ € %)"
"<a href=""https://www.facebook.com/laconsigne.epicerie.durable"" target=""_blank"">La Consigne

<img src=""https://www.bepakt.com/images/logo_laconsigne_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Cherbourg","<a href=""http://www.kisskissbankbank.com/fr/projects/la-consigne-mon-epicerie-durable"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2015

15May-24June",6,121,€52,"Goal: €5,000","€6,267

125% of Goal"
"<a href=""http://mollerensylvia.no"" target=""_blank"">Mølleren Sylvia

<img src=""https://www.bepakt.com/images/logo_molleren_sylvia.png"" height=80 width=80></a>","Norway

<img src=""https://www.bepakt.com/images/flags/norway.gif"" width=30 height=18>

Oslo","<a href=""https://www.kickstarter.com/projects/1217033786/mlleren-sylvia"" target=""_blank"">Kickstarter

<img src=""https://www.bepakt.com/images/logo_cf_kickstarter_320x160.png"" width=80 height=40></a>","2015

26Mar-25May",8.5,266,"NOK 695
(≈€72)","Goal: NOK 650,000
(≈€66,815)","Pledged: NOK 184,590
(≈€18,974)

=28% of Goal"
"<a href=""http://ohne-laden.de/"" target=""_blank"">Ohne

<img src=""https://www.bepakt.com/images/logo_ohnemuenchen_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Munich","<a href=""https://www.startnext.com/ohne-verpackungsfrei-muenchen"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2015

20Mar-17Jun",12,958,€51,"Threshold: €43,500","€48,804

112% of Threshold"
"<a href=""http://holis-market.at/"" target=""_blank"">Holis
<b><span style=""color:purple"">(campaign 1)</span></b>

<img src=""https://www.bepakt.com/images/logo_holis_1000.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Linz","<a href=""https://wemakeit.com/projects/holis-market"" target=""_blank"">wemakeit

<img src=""https://www.bepakt.com/images/logo_cf_wemakeit_320x160.png"" width=80 height=40></a>","2015

18March-19May

<span style=""color:red"">[SHOP CLOSED
13-AUG-2016]</span>",6,488,€80,"Threshold: €25,500","€39,316

157% of Threshold"
"<a href=""http://www.augrainpres.com"" target=""_blank"">Au Grain Près

<img src=""https://www.bepakt.com/images/logo_augrainpres_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Marseille","<a href=""http://www.kisskissbankbank.com/au-grain-pres-l-epicerie-sur-mesure-a-marseille"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2015

15March-4May",7,82,€42,"Goal: €3,300","€3,430

104% of Goal"
"<a href=""http://www.einfach-unverpackt.de/"" target=""_blank"">Einfach Unverpackt

<img src=""https://www.bepakt.com/images/logo_einfachunverpackt_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Leipzig","<a href=""http://www.visionbakery.com/einfach-unverpackt"" target=""_blank"">Vision Bakery

<img src=""https://www.bepakt.com/images/logo_cf_visionbakery_320x160.png"" width=80 height=40></a>","2015

20Jan-25Dec",5,521,€42,"Goal:  €20,000","€22,006

110% of Goal"
"<a href=""http://www.opgewecktnoord.nl"" target=""_blank"">Opgeweckt Noord

<img src=""https://www.bepakt.com/images/logo_opgewecktnoord_1000.png"" height=80 width=80></a>
","Netherlands

<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=30 height=18>

Groningen","<a href=""https://www.crowdaboutnow.nl/opgewecktnoord"" target=""_blank"">CrowdAboutNow


<img src=""https://www.bepakt.com/images/logo_cf_crowdaboutnow_320x160.png"" width=80 height=40></a>","2015

5Jan-30Mar

<span style=""color:red"">[SHOP CLOSED
1-JUL-2016]</span>",12,138,€362,"Threshold: €25,000
<b>*loans</b>","€50,000

200% of Goal
"
"<a href=""http://www.liebeundlose.at/"" target=""_blank"">Liebe & Lose

<img src=""https://www.bepakt.com/images/logo_liebeundlose_1000.png"" height=80 width=80></a>","Austria

<img src=""https://www.bepakt.com/images/flags/austria.gif"" width=30 height=18>

Innsbruck","<a href=""https://www.startnext.com/liebeundlose"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2014

23Dec2014-23March2015

<span style=""color:red"">[SHOP CLOSED MARCH 2016?]</span>",12,1105,€47,"Threshold: €35,000

Goal: €50,000","€51,467

103% of Goal"
"<a href=""http://www.lose-dresden.de/"" target=""_blank"">Lose

<img src=""https://www.bepakt.com/images/logo_lose_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Dresden","<a href=""https://www.startnext.com/lose"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2014

1Dec2014-31Jan2015",8,790,€39,"Goal: €25,000","€30,813

123% of Goal"
"<a href=""https://www.facebook.com/contentcvba"" target=""_blank"">Content

<img src=""https://www.bepakt.com/images/logo_content_1000.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Leuven","<a href=""http://www.crofun.be/nl/project/558-kruidenier-zonder-verpakkingen-in-leuven#.VaJbf3gmWhs"" target=""_blank"">Crofun.be

<img src=""https://www.bepakt.com/images/logo_cf_crofun_320x160.png"" width=80 height=40></a>","2014

27Oct-26Nov",4,115,€42,"Threshold: €3,000","€4,866

160% of Goal"
"<a href=""http://bagandbuy.nl/"" target=""_blank"">Bag & Buy

<img src=""https://www.bepakt.com/images/logo_bagandbuy_1000.png"" height=80 width=80></a>","Netherlands

<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=30 height=18>

Utrecht","<a href=""https://www.doorgaan.nl/nl/project/2203011/de-1e-verpakkingsvrije-winkel-in-nederland-bag-buy"" target=""_blank"">Doorgaan.nl

<img src=""https://www.bepakt.com/images/logo_cf_doorgaan_320x160.png"" width=80 height=40></a>","2014

26Sep-24Nov

<span style=""color:red"">[SHOP CLOSED
14-FEB-2016]</span>",8,850,€108,"Threshold:  €75,000
"," €92,166

123% of Threshold"
"<a href=""http://www.thezeromarket.com/"" target=""_blank"">Zero Market

<img src=""https://www.bepakt.com/images/logo_zeromarket_1000.png"" height=80 width=80></a>","United States

<img src=""https://www.bepakt.com/images/flags/united_states.gif"" width=30 height=18>

Colorado,
Denver","<a href=""https://www.indiegogo.com/projects/zero-market-zero-waste-store-coming-to-denver"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_indiegogo_320x160.png"" width=80 height=40></a>","2014

30July-30Sept",8,197,€128,"Threshold: Flexible

Goal: $30,000","$25,921

86% of Goal"
"<a href=""http://www.berobuust.com/"" target=""_blank"">Robuust

<img src=""https://www.bepakt.com/images/logo_robuust_1000.png"" height=80 width=80></a>","Belgium

<img src=""https://www.bepakt.com/images/flags/belgium.gif"" width=30 height=18>

Antwerp","<a href=""https://www.indiegogo.com/projects/robuust-the-zero-waste-shop"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_indiegogo_320x160.png"" width=80 height=40></a>","2014

May-April",6,40,€41,"Threshold: Flexible

Goal: €22,500","€1,652

= 7,3% of Goal"
"<a href=""http://original-unverpackt.de/"" target=""_blank"">Original Unverpackt

<img src=""https://www.bepakt.com/images/logo_original_unverpackt_1000.png"" height=80 width=80></a>","Germany

<img src=""https://www.bepakt.com/images/flags/germany.gif"" width=30 height=18>

Berlin","<a href=""http://www.startnext.de/original-unverpackt"" target=""_blank"">Startnext

<img src=""https://www.bepakt.com/images/logo_cf_startnext_320x160.png"" width=80 height=40></a>","2014

8May-16June","5.5
",1493,€73,"Threshold: €20,000

Goal: €45,000","€108,900

242% of Goal"
"<a href=""http://la-recharge.fr/"" target=""_blank"">La Recharge

<img src=""https://www.bepakt.com/images/logo_larecharge_1000.png"" height=80 width=80></a>","France

<img src=""https://www.bepakt.com/images/flags/france.gif"" width=30 height=18>

Bordeaux","<a href=""http://www.kisskissbankbank.com/la-recharge"" target=""_blank"">Kiss Kiss Bank Bank

<img src=""https://www.bepakt.com/images/logo_cf_kisskissbankbank_320x160.png"" width=80 height=40></a>","2014

14Mar-13April",4,130,€32,"Goal: €3,500","€4,170

119% of Goal"
"<a href=""http://www.beunpackaged.com/"" target=""_blank"">Unpackaged
 (Hackney Shop)

<img src=""https://www.bepakt.com/images/logo_unpackaged_1000.png"" height=80 width=80></a>","United Kingdom

<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" width=30 height=18>

London",Directly with customers,2012,,8,,,"between £2,000
and £25,000
(≈ €2,300-28,500)
<b>*low interest loans</b>"
"<a href=""http://www.newleafcoop.co.uk"" target=""_blank"">The New Leaf Co-Op

<img src=""https://www.bepakt.com/images/logo_newleaf_1000.png"" height=80 width=80></a>","United Kingdom

<img src=""https://www.bepakt.com/images/flags/united_kingdom.gif"" width=30 height=18>

Edinburgh","<a href=""https://www.buzzbnk.org/newleafcoop"" target=""_blank"">Buzzbnk

<img src=""https://www.bepakt.com/images/logo_cf_buzzbnk_320x160.png"" width=80 height=40></a>","2012

10July-16Aug",5,27,"£124
(≈ €141)","Target: £1,000 (≈ €1,361)
<b>* loans</b>","£3,340
(≈ €4,534)

334% of Target"
"<a href=""http://in.gredients.com/"" target=""_blank"">in.gredients
<b><span style=""color:purple"">(campaign 1)</span></b>

<img src=""https://www.bepakt.com/images/logo_ingredients_1000.png"" height=80 width=80></a>","United States

<img src=""https://www.bepakt.com/images/flags/united_states.gif"" width=30 height=18>

Texas,
Austin","<a href=""https://www.indiegogo.com/projects/in-gredients"" target=""_blank"">Indiegogo

<img src=""https://www.bepakt.com/images/logo_cf_indiegogo_320x160.png"" width=80 height=40></a>","2010

30Jun-...",10,234," $66","Threshold: Flexible

Goal: $15,000","$15,455

103% of Goal"
