Shop,Location,Open Since,Contact
"<a href=""http://www.tuttoalkg.it"" target=""_blank"">Tutto al Kg

<img src=""https://bepakt.com/images/logo_tutto_al_kg.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/Tutto+Al+Kg/@41.9430156,12.5268994,17z/data=!3m1!4b1!4m5!3m4!1s0x132f66aaa2bbdb59:0x1869d39247210b54!8m2!3d41.9430116!4d12.5290934"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Roma [00141]
<i>Viale Tirreno, 219</i>","(?)-Sep-2014

<b><span style=""color:red""> (Closed 31-Jan-2018)</span></b>","<a href=""http://www.tuttoalkg.it"" target=""_blank"">www.tuttoalkg.it</a>
<a href=""mailto:ludovica.pacitti@hotmail.it"">ludovica.pacitti@hotmail.it</a>    
<a href=""mailto:info@tuttoalkg.it"">info@tuttoalkg.it</a>  
+393341236002

<a href=""https://www.facebook.com/tuttoalkgprodottisfusieallaspinaromamontesacro/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://www.instagram.com/tutto_al_kg_viale_tirreno_219/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> "
"<a href=""http://original-unverpackt.de"" target=""_blank"">Original Unverpackt

<img src=""https://www.bepakt.com/images/logo_original_unverpackt_1000.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Original+Unverpackt/@52.49775,13.42992,17z/data=!4m2!3m1!1s0x47a84e4ad8d5378d:0x10b1e055bb25a104"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Berlin
[10999, Kreuzberg]
<i>Wiener Straße 16</i>",1-Sep-2014,"<a href=""http://original-unverpackt.de"" target=""_blank"">www.original-unverpackt.de</a>
<a href=""mailto:kontakt@original-unverpackt.de"">kontakt@original-unverpackt.de</a>
<a href=""mailto:presse@original-unverpackt.de"">presse@original-unverpackt.de</a>

<a href=""https://www.facebook.com/OriginalUnverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.twitter.com/OrigUnverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://www.instagram.com/originalunverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://www.linkedin.com/company/original-unverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a> <a href=""http://www.startnext.de/original-unverpackt"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_startnext_300.png"" width=15 height=15></a>"
"<a href=""https://www.facebook.com/simbiosichiavari/"" target=""_blank"">Simbiosi

<img src=""https://bepakt.com/wp-content/uploads/2018/03/Simbiosi.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/SimBioSi/@44.316444,9.3324996,17z/data=!3m1!4b1!4m5!3m4!1s0x12d4987782abb8d9:0x7745452188ab87f3!8m2!3d44.3164402!4d9.3346936"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Chiavari (Genova) [16043]
<i>Via Piacenza, 69</i>",6-Sep-2014,"+39 0185 590111

<a href=""https://www.facebook.com/simbiosichiavari/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  "
"<a href=""http://www.ecologica-sfuso.it"" target=""_blank"">Ecologica

<img src=""https://bepakt.com/images/logo_ecologica.png"" height=50 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Eco.logica/@38.1231391,13.3515129,17z/data=!3m1!4b1!4m5!3m4!1s0x1319ef5eb20ce4f1:0x8f7255afc78fdf0!8m2!3d38.1231349!4d13.3537069?dcr=0"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Palermo [9011]
<i>Piazza Sant'Oliva, 30</i>",27-Sep-2014,"<a href=""http://www.ecologica-sfuso.it"" target=""_blank"">www.ecologica-sfuso.it</a>
<a href=""mailto:info@ecologica-sfuso.it"">info@ecologica-sfuso.it</a>
+39 091 791 0141

<a href=""https://www.facebook.com/ecologica.palermo/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://www.instagram.com/eco_logica_laspesaintelligente/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>
"
"<a href=""http://www.papaveridimare.it"" target=""_blank"">Papaveri di Mare

<img src=""https://bepakt.com/wp-content/uploads/2018/06/Papaveri-di-Mare-e1527865653666.png"" height=70 width=70></a>
","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.com/maps/place/Papaveri+di+Mare/@43.5163741,10.3223575,17z/data=!3m1!4b1!4m5!3m4!1s0x12d5e91fb2ac2617:0x80ef01ed0a953ad2!8m2!3d43.5163702!4d10.3245515"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Livorno [57128]
<i>Via Franchini, 16</i>",11-Oct-2014,"<a href=""http://www.papaveridimare.it"" target=""_blank"">www.papaveridimare.it</a>
<a href=""mailto:info@papaveridimare.it"">info@papaveridimare.it
</a>
+39 338 345 1520

<a href=""https://www.facebook.com/papaveridimare/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""https://www.naturlieferant.de"" target=""_blank"">Naturlieferant - Plastikfreie ZONE

<img src=""https://www.bepakt.com/wp-content/uploads/2018/09/naturlieferant.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Plastikfreie+ZONE/@48.1350766,11.596574,17z/data=!3m1!4b1!4m5!3m4!1s0x479e7581b5f4953b:0x80fba8d640712e40!8m2!3d48.135073!4d11.598768"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a>München [81675]
<i>Schloßstraße 7</i>",14-Oct-2014,"<a href=""https://www.naturlieferant.de"" target=""_blank"">www.naturlieferant.de</a>
<a href=""mailto:
info@naturlieferant.de"">
info@naturlieferant.de</a>
+49 89 52037967

<a href=""https://www.facebook.com/naturlieferant/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/der.plastikfreie.laden/?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>
"
"<a href=""http://pepitaygrano.com"" target=""_blank"">Pepita y Grano

<img src=""https://www.bepakt.com/images/logo_pepitaygrano_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps/place/Pepita+y+Grano/@40.4354395,-3.7013376,17z/data=!4m7!1m4!3m3!1s0xd4228f4f3208a85:0x86c96e35d88a7c52!2sCalle+de+Sta+Engracia,+77,+28010+Madrid,+Spanje!3b1!3m1!1s0xd4228f48cd71b4b:0x8ada713be0da6b6e"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Madrid [28010]
<i>Calle Santa Engracia 77</i>",1-Nov-2014,"<a href=""http://pepitaygrano.com"" target=""_blank"">www.pepitaygrano.com</a>
<a href=""mailto:info@pepitaygrano.com"">info@pepitaygrano.com</a>

<a href=""https://www.facebook.com/pages/Pepita-GRANO/1384270528530818"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://twitter.com/pepitaygrano"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://instagram.com/pepitaygrano"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://bezobalu.org"" target=""_blank"">bezobalu

<img src=""https://www.bepakt.com/images/logo_bezobalu_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/czech.png"" style=""width:20px; padding-right:2px;""> <b>Czech Republic</b>

Bezobalu Bělehradská
<a href=""https://www.google.com/maps/place/Bezobalu/@50.073722,14.4310668,17z/data=!4m13!1m7!3m6!1s0x470b94892e275ad1:0x5f8e267d070c01f9!2sBělehradská+644%2F96,+120+00+Praha+2-Vinohrady!3b1!8m2!3d50.073722!4d14.4332555!3m4!1s0x470b94892e27595f:0x3ed4ef5c530b814d!8m2!3d50.073722!4d14.4332555"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Prague [120 00 Vinohrady-Praha 2]
<i>Bělehradská 644/96</i>

Bezobalu Pod Kaštany
<a href=""https://www.google.com/maps/place/Bezobalu+Pod+Kaštany/@50.0983834,14.4030144,17z/data=!4m5!3m4!1s0x470b9520b4222283:0x1791aa5117872be7!8m2!3d50.0983834!4d14.4052084?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Prague [Praha 6-Dejvice]
<i>Pod kaštany 182/5</i>","2-Nov-2014

1-Apr-2017
(second shop)
","Czech: <a href=""http://bezobalu.org"" target=""_blank"">www.bezobalu.org</a>

English: <a href=""http://zerowaste.bezobalu.org/?lang=en"" target=""_blank"">Workshops and conferences</a>

<a href=""mailto:bezobalu@bezobalu.org"">bezobalu@bezobalu.org</a>
+420 774 134 804
(Bělehradská shop)
+420 222 956 462
(Pod Kaštany shop)

<a href=""https://www.facebook.com/bezobalu.org"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/bezobalu/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>  <a href=""https://www.linkedin.com/in/petr-hanzel-2a441528/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_linkedin_300.png"" width=15 height=15></a> "
"<a href=""https://www.facebook.com/contentcvba"" target=""_blank"">Content

<img src=""https://www.bepakt.com/images/logo_content_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Tiensestraat+259,+3000+Leuven,+België/@50.873645,4.713972,17z/data=!3m1!4b1!4m2!3m1!1s0x47c1612ad2071a59:0x71b50a9f591cb6fb"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Leuven [3000]
<i>Tiensestraat 259</i>",1-Dec-2014,"<a href=""http://contentleuven.weebly.com"" target=""_blank"">contentleuven.weebly.com</a>
<a href=""mailto:leuvenpaktuit@outlook.com"">leuvenpaktuit@outlook.com</a>
+32 484 62 03 29

<a href=""https://www.facebook.com/contentcvba"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/LeuvenPaktUit"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://www.crofun.be/nl/project/558-kruidenier-zonder-verpakkingen-in-leuven#.VaJbf3gmWhs"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_crofun_300.png"" width=15 height=15></a> 

"
"<a href=""https://www.facebook.com/almatafood"" target=""_blank"">Almata

<img src=""https://www.bepakt.com/images/logo_almata_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Almata/@50.8239863,4.3476376,17z/data=!4m7!1m4!3m3!1s0x47c3c45e8de15935:0x15d2128a107de62e!2sRue+d'Albanie+80,+1060+Saint-Gilles,+Belgium!3b1!3m1!1s0x47c3c45e8de15935:0x29571946cd6ef833"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Brussels [1060]
<i>Rue d'Albanie 80</i>",1-Dec-2014,"www.almata.be
<a href=""mailto:almata@almata.be"">almata@almata.be</a>
+32 2 534 74 35

<a href=""https://www.facebook.com/almatafood"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.lajustedose.fr"" target=""_blank"">La Juste Dose

<img src=""https://www.bepakt.com/images/logo_lajustedose_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/france.gif"" style=""width:20px; padding-right:2px;""> <b>France</b>

<a href=""https://www.google.com/maps/place/M.J.C+Lillebonne+Saint+Epvre+(Maison+des+Jeunes+et+de+la+Culture)/@48.695253,6.1761481,17z/data=!3m1!4b1!4m2!3m1!1s0x4794986b703c28f5:0xb3f59d17e1d3a26d""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Nancy [54000]
<i>La MJC Lillebonne,
14 Rue du Cheval Blanc</i>","1-Dec-2014
(?)","<a href=""http://www.lajustedose.fr"" target=""_blank"">www.lajustedose.fr</a>
<a href=""mailto:contact@lajustedose.fr"">contact@lajustedose.fr</a>
+336 28 70 58 34 (Sébastien)"
"<a href=""http://boisgenoud.bio"" target=""_blank"">Les Frondaisons de Bois-Genoud

<img src=""https://www.bepakt.com/images/logo_bois_genoud_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/switzerland.gif"" style=""width:15px; height:15px; padding-right:2px;""> <b>Switzerland</b>

<a href=""https://www.google.com/maps/place/Magasin+de+la+Ferme+de+Bois-Genoud,+Tania+Schüsselé/@46.5583477,6.5859828,17z/data=!4m13!1m7!3m6!1s0x478c3187580643bf:0x10a45addd13ad1b3!2sRoute+du+Bois-Genoud+36,+1023+Crissier,+Switzerland!3b1!8m2!3d46.5583477!4d6.5881715!3m4!1s0x478c3187580643bf:0xa591ab0af1e0abd2!8m2!3d46.5583477!4d6.5881715?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Crissier [1023]
<i>Route de Bois Genoud 36</i>",10-Dec-2014 ?,"www.boisgenoud.bio
tania@boisgenoud.bio
+41 21 646 57 26"
"<a href=""https://www.facebook.com/pg/bicodegrao"" target=""_blank"">Bico De Grao

<img src=""https://www.bepakt.com/images/logo_bico_de_grao.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

Lugo",19-Dec-2014,"<a href=""https://www.facebook.com/pg/bicodegrao"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.biovital.be"" target=""_blank"">Biovital

<img src=""https://www.bepakt.com/images/logo_biovital.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

Antheit [4520]
<i>142 rue de Leumont</i>

Hannut [4280]
<i>106 rue de Huy</i>",(?)-(?)-2014?,"+32 19 51 61 55
(Hannut)

+32 85 21 32 95
(Antheit)"
"<a href=""http://www.superfair.nl/"" target=""_blank"">Superfair

<img src=""https://www.bepakt.com/images/logo_superfair_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

<a href=""https://www.google.com/maps/place/SuperFair/@52.1103176,4.5093473,10z/data=!4m5!1m2!2m1!1ssuperfair!3m1!1s0x47c66f4c06ae7101:0x6fe73404ffeb6bf1""  target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Utrecht [3572 BH]
<i>Biltstraat 90</i>","1-Feb-2015

<b><span style=""color:red""> Closed 5-Nov-2018</span></b>","<a href=""http://www.superfair.nl/"" target=""_blank"">www.superfair.nl</a>
<a href=""mailto:info@superfair.nl"">info@superfair.nl</a>
+31 302 713 606

<a href=""https://www.facebook.com/superfairbiltstraat""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.twitter.com/superfairnl"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""http://granelmadrid.com"" target=""_blank"">Granel Madrid

<img src=""https://www.bepakt.com/images/logo_granel_madrid_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps/place/Granel+Madrid/@40.4101263,-3.7087237,17z/data=!3m1!4b1!4m5!3m4!1s0xd4227d44b1ddc3b:0xf7c5ba69831ab86f!8m2!3d40.4101263!4d-3.706535"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Madrid [28012]
<i>Calle de Embajadores, 12</i>",2-Feb-2015,"<a href=""http://www.granelmadrid.com"" target=""_blank"">www.granelmadrid.com</a>
<a href=""mailto:granelmadrid@gmail.com"">granelmadrid@gmail.com</a>
+34 911 69 90 33

 <a href=""https://www.facebook.com/Granel-Madrid-652127344884866/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>  <a href=""https://instagram.com/granelmadrid/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://twitter.com/GranelMadrid"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a>"
"<a href=""http://www.annas-unverpacktes.de"" target=""_blank"">Annas Unverpacktes

<img src=""https://www.bepakt.com/images/logo_annasunverpacktes_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/gerany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Annas+Unverpacktes/@49.4142566,8.686428,17z/data=!4m7!1m4!3m3!1s0x4797c118724615df:0xe1564d2674af555a!2sLadenburger+Str.+37,+69120+Heidelberg,+Germany!3b1!3m1!1s0x4797c118724615df:0xd1bfc20702b3abf8"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Heidelberg [69120]
<i>Ladenburger Str. 37</i>",1-Mar-2015,"<a href=""http://www.annas-unverpacktes.de"" target=""_blank"">www.annas-unverpacktes.de</a>
<a href=""mailto:annafwahala@gmail.com"">annafwahala@gmail.com</a>
+49 6221 6724604	

<a href=""https://www.facebook.com/annasunverpacktes"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> "
"<a href=""https://frida-bio.at""  target=""_blank"">Frida bio

<img src=""https://www.bepakt.com/images/logo_frida_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/austria.gif"" style=""width:20px; padding-right:2px;""> <b>Austria</b>

<a href=""https://www.google.com/maps/place/Marktstraße+28,+6845+Hohenems,+Oostenrijk/@47.3648738,9.6874368,17z/data=!3m1!4b1!4m2!3m1!1s0x479b156f4a78e72f:0x5e008ff366c3467e"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Hohenems [6845]
Vorarlberg 
<i>Marktstraße 28</i>",1-Mar-2015,"<a href=""http://www.frida-bio.at"" target=""_blank"">www.frida-bio.at</a>
<a href=""mailto:info@frida-bio.at"">info@frida-bio.at</a>
+43 (0) 650 27 111 25

<a href=""https://www.facebook.com/schlossle.gotzis"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.youtube.com/watch?v=_UMAQcGeVAE"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/explore/locations/952488460/frida-bio/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.losfusotrento.it""  target=""_blank"">Lo Sfuso

<img src=""https://bepakt.com/wp-content/uploads/2018/03/Lo-sfuso.png"" height=70 width=90></a>","<img src=""https://www.bepakt.com/images/flags/italy.gif"" style=""width:20px; padding-right:2px;""> <b>Italy</b>

<a href=""https://www.google.it/maps/place/Lo+Sfuso/@46.0607347,11.1196393,17z/data=!3m1!4b1!4m5!3m4!1s0x478271365b2fe72f:0xdf44a98d0069a3f1!8m2!3d46.060731!4d11.121828"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Trento [38122]
<i>Via Monsignor Endrici, 17</i>
",(?)-Apr-2015,"<a href=""http://www.losfusotrento.it"" target=""_blank"">www.losfusotrento.it</a>
<a href=""mailto:info@losfusotrento.it"">info@losfusotrento.it</a>
+39 0461 094596

<a href=""https://www.facebook.com/LO-SFUSO-474834739333038/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>

"
"<a href=""https://www.facebook.com/Sin-huella-409793295849343/""  target=""_blank"">Sin Huella

<img src=""https://bepakt.com/wp-content/uploads/2018/04/Sin-Huella.png"" height=70 width=70></a>

","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

<a href=""https://www.google.com/maps/place/Sin+Huella/@41.6513581,-0.8760516,17z/data=!3m1!4b1!4m5!3m4!1s0xd5914f1130360b1:0xf7f36d3c1d08b350!8m2!3d41.6513581!4d-0.8738629"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15 ></a> Zaragoza [50002]
<i>Calle del Coso, 156</i>

",(?)-Apr-2015,"<a href=""mailto:sinhuella156@gmail.com"">sinhuella156@gmail.com</a>
+34 976 24 26 26

<a href=""https://www.facebook.com/Sin-huella-409793295849343/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/explore/locations/808602705/sin-huella/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
"<a href=""http://www.lose-dresden.de"" target=""_blank"">Lose

<img src=""https://www.bepakt.com/images/logo_lose_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/germany.gif"" style=""width:20px; padding-right:2px;""> <b>Germany</b>

<a href=""https://www.google.com/maps/place/Lose+Dresden/@51.0651086,13.7499792,17z/data=!4m7!1m4!3m3!1s0x4709cf3eeb9774d9:0x9e376d2996743764!2sBöhmische+Str.+14,+01099+Dresden,+Germany!3b1!3m1!1s0x4709cf3eeb970e97:0xcf9e1a520652105f"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15> </a> Dresden-Neustadt [Sachsen]
<i>Böhmische Straße 14</i>",1-Apr-2015,"<a href=""http://www.lose-dresden.de/"" target=""_blank"">www.lose-dresden.de</a>
<a href=""mailto:berit@lose-dresden.de"">berit@lose-dresden.de</a>
+49 351 87462584
+49 1577 8968584

 <a href=""http://www.facebook.com/lose.dresden"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/berit_heller"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.youtube.com/watch?v=TARn3V1iuP4"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_youtube_300.png"" width=15 height=15></a> <a href=""http://www.startnext.de/lose"" target=""blank""><img src=""https://www.bepakt.com/images/icon_startnext_300.png"" width=15 height=15></a>"
"<a href=""https://duckduckgo.com/?q=opgeweckt+noord""  target=""_blank"">Opgeweckt Noord

<img src=""https://www.bepakt.com/images/logo_opgewecktnoord_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/netherlands.gif"" width=19 height=10 style=""width:20px; padding-right:2px;""> <b>Netherlands</b>

<a href=""https://www.google.com/maps/place/Opgeweckt+Noord/@53.2163772,6.5582027,17z/data=!3m1!4b1!4m2!3m1!1s0x47c9cd4e7d3da4d1:0x14036f5f441332bc?hl=en"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15></a> Groningen [9718 CR]
<i>Astraat 16</i>","1-Apr-2015

<span style=""color:red""><b>Closed 1-July-2016</b></span>","opgewecktnoord.nl (offline)
+316 10 02 99 94 (Tonny)
+316 57 77 90 04 (Dorothea)

 <a href=""https://twitter.com/dorotheapiek"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""http://instagram.com/dorotheapiek"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a> <a href=""https://crowdaboutnow.nl/opgewecktnoord"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_crowdaboutnow_300.png"" width=15 height=15></a>
"
"<a href=""https://www.facebook.com/jabonando/""  target=""_blank"">Jabonando 

<img src=""https://www.bepakt.com/images/logo_jabonando_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/spain.gif"" style=""width:20px; padding-right:2px;""> <b>Spain</b>

Barcelona","1-Apr-2015

<span style=""color:red""><b>Closed 20-March-2016?</b></span>","jabonando.com (offline)
+34 934 61 42 46

<a href=""https://www.facebook.com/jabonando"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a>"
"<a href=""http://www.ohne.be""  target=""_blank"">OHNE (Gent)

<img src=""https://www.bepakt.com/images/logo_ohnegent_1000.png"" height=70 width=70></a>","<img src=""https://www.bepakt.com/images/flags/belgium.gif"" style=""width:20px; padding-right:2px;""> <b>Belgium</b>

<a href=""https://www.google.com/maps/place/Steendam+59,+9000+Gent,+België/@51.0572045,3.7287235,17z/data=!3m1!4b1!4m2!3m1!1s0x47c37149d510c043:0x1a7c3216234f6b2f"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_googlemaps_300.png"" width=15 height=15> </a> Gent (Ghent) [9000]
<i>Steendam 59</i>",1-May-2015,"<a href=""http://www.ohne.be/"" target=""_blank"">www.ohne.be</a>
<a href=""mailto:contact@ohne.be"">contact@ohne.be</a>
+32 474 78 91 92

 <a href=""https://www.facebook.com/ohnegent"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_facebook_300.png"" width=15 height=15></a> <a href=""https://twitter.com/ohnegent"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_twitter_square_300.png"" width=15 height=15></a> <a href=""https://www.instagram.com/ohne_ghent/"" target=""_blank""><img src=""https://www.bepakt.com/images/icon_instagram_300.png"" width=15 height=15></a>"
